cell_key,microns_root_id
N:335221,864691136871727982
N:336473,864691136034350523
N:336528,864691135721135361
N:612315,864691135737685636
N:612560,864691134767157244
N:336933,864691136145420084
N:336886,864691135664155316
N:332841,864691135465007422
N:334813,864691136145420084
N:336619,864691135018280637
N:328929,864691134886467066
N:331387,864691137053660022
N:331390,864691136740438876
N:304511,864691136234844891
N:294779,864691136116895140
N:296825,864691136106614233
N:294526,864691135700351233
N:296231,864691136824148334
N:332758,864691135338514001
N:329352,864691135132652192
N:663902,864691135740208491
N:663250,864691135765679549
N:279735,864691135428491568
N:314404,864691135581867629
N:345863,864691136437698934
N:345480,864691135065017412
N:617397,864691134839387986
N:663261,864691136209046204
N:345646,864691134954857719
N:314371,864691136113762210
N:346158,864691135837112564
N:343537,864691135614913483
N:277891,864691135697381141
N:308860,864691135777424480
N:346377,864691136123692070
N:308736,864691135469015122
N:312893,864691134904393467
N:275058,864691135488245050
N:345619,864691135851430132
N:308482,864691135772376059
N:286483,864691135478811334
N:310486,864691135874426721
N:645276,864691135776532576
N:343974,864691135858491438
N:380526,864691135569858863
N:700104,864691135688153056
N:595338,864691136085156204
N:663023,864691135123268391
N:382307,864691136023984034
N:345455,864691135447099732
N:258172,864691135465819634
N:699659,864691136677673469
N:260472,864691135544830404
N:376910,864691135498873013
N:258433,864691135878733651
N:258549,864691135360840792
N:259551,864691135540790680
N:626592,864691135353823002
N:259649,864691135361593330
N:257647,864691136601570769
N:255686,864691135568539372
N:254941,864691135157908017
N:255286,864691135858491438
N:660697,864691135524123761
N:660787,864691135989397286
N:223711,864691135594315819
N:222237,864691136704830830
N:379143,864691136023780258
N:256338,864691136446104451
N:256677,864691136436419998
N:240292,864691135946663265
N:205215,864691136111331806
N:620962,864691135859535208
N:239390,864691135853022407
N:620448,864691135616664681
N:239337,864691135777639357
N:619481,864691135858491438
N:590432,864691135119026141
N:236126,864691136084677484
N:389991,864691136025214777
N:618351,864691135488596020
N:618705,864691135472470578
N:616836,864691136242473907
N:239116,864691135082497015
N:590811,864691135891718040
N:389184,864691136177312774
N:386562,864691135791337438
N:591101,864691135683241202
N:622096,864691136084065644
N:246584,864691134779407633
N:245660,864691135264603301
N:621885,864691134835137072
N:243749,864691135758613046
N:210641,864691135729619312
N:211366,864691135208633158
N:244008,864691132728902286
N:619806,864691135873629326
N:274730,864691136480664465
N:277601,864691134821986281
N:276854,864691135991830209
N:367416,864691135858491438
N:274616,864691135592465001
N:279437,864691135611692234
N:364587,864691136483351431
N:278897,864691136440889853
N:275599,864691136805211758
N:272272,864691135475517248
N:272564,864691135213868088
N:368501,864691135394919366
N:368515,864691135681984964
N:335407,864691136909232238
N:332974,864691136330836202
N:636365,864691135342051505
N:241487,864691135385648469
N:636469,864691135193235195
N:276438,864691135164434989
N:249465,864691135382908139
N:362620,864691136065230488
N:360719,864691136145420084
N:276688,864691136828410478
N:362695,864691135367588601
N:333098,864691135743079019
N:333215,864691136023824441
N:332857,864691134887538426
N:363959,864691135455264362
N:362363,864691136907038830
N:231078,864691135569517190
N:651480,864691135215273345
N:264075,864691135105113165
N:374648,864691136903261618
N:266651,864691135655151298
N:266490,864691135469044620
N:373398,864691134909427816
N:267109,864691135592972811
N:373891,864691136117330312
N:339607,864691135384870891
N:342063,864691135785771204
N:376009,864691135585998204
N:259700,864691135526695771
N:344520,864691135464949371
N:374977,864691135925638753
N:263950,864691135368867826
N:228264,864691135466440261
N:260552,864691135084244727
N:260263,864691135694415551
N:654119,864691136696818429
N:628109,864691136276430124
N:262898,864691135778773856
N:271478,864691135888520841
N:271265,864691136363656418
N:271288,864691135755013586
N:236992,864691136022079992
N:269816,864691136740406108
N:236805,864691136009338030
N:370424,864691135858491438
N:646357,864691135520393475
N:338998,864691134564825707
N:235772,864691135163115821
N:645672,864691135519974147
N:270614,864691136849567854
N:269096,864691135858491438
N:271004,864691135858491438
N:273327,864691136084677484
N:337486,864691135688324064
N:368085,864691135858491438
N:272433,864691135566810455
N:370197,864691136868249454
N:337729,864691135679695300
N:692285,864691136389250832
N:268149,864691135526067547
N:265685,864691136695204974
N:269842,864691136389252983
N:369266,864691135345727903
N:339260,864691135233847897
N:269633,864691136453183487
N:371291,864691135858491438
N:233435,864691135379431410
N:269006,864691135404721646
N:371530,864691135571268389
N:470693,864691135941644897
N:87702,864691135516178899
N:84843,864691135510727177
N:491190,864691136274181645
N:90771,864691135971579444
N:783704,864691135870433268
N:25793,864691135084838878
N:437082,864691136813970294
N:469745,864691136051302899
N:469737,864691135776551008
N:469777,864691135385618101
N:48974,864691134981868297
N:803113,864691135208496512
N:538349,864691136733948338
N:472977,864691135819017017
N:489346,864691135376106569
N:86878,864691136288948446
N:487751,864691135660278339
N:442826,864691135823126841
N:457719,864691135511621385
N:493048,864691135334222144
N:517783,864691135738209156
N:44591,864691135218196833
N:552364,864691135067372528
N:6283,864691135338662168
N:552428,864691135455264362
N:465365,864691135858491438
N:552927,864691136750947438
N:552738,864691135732867490
N:466307,864691136926364490
N:466342,864691135946430756
N:466060,864691135190136913
N:504406,864691136051112947
N:552027,864691135481833093
N:551855,864691135307229335
N:27054,864691135905712041
N:554213,864691136537649570
N:464425,864691136074699698
N:521180,864691136123750182
N:554111,864691135039220268
N:537111,864691135469033042
N:537070,864691135124954347
N:493697,864691136601561809
N:537089,864691135858491438
N:554287,864691135777201853
N:433558,864691134989439490
N:552913,864691135573627378
N:527467,864691135694827156
