cell_key,cilium_length_um,centriole_dist_um,nucleus_volume_um3
N:97840,,,85.25
N:54452,,,120.66
N:552738,,,45.68
N:807734,,,74.52
N:466307,,,326.35
N:466342,,,251.29
N:466060,,5.46,57.06
N:782263,,,77.31
N:97887,,,115.49
N:504406,,,66.65
N:552027,,,38.1
N:551855,,,145.95
N:43390,,,218.26
N:45766,,,95.0
N:27054,,,237.98
N:554213,,,230.6
N:46009,,,191.01
N:45853,,,74.85
N:6365,,,50.27
N:464425,,4.5,47.05
N:45951,,,112.85
N:521180,,,247.74
N:554111,,,47.45
N:26849,,,234.72
N:101534,4.22,4.47,106.78
N:537111,,,352.23
N:537070,,,53.52
N:493697,,,86.95
N:537089,,,47.2
N:56767,,2.66,91.19
N:554287,,,167.91
N:433558,,,56.3
N:552913,6.95,1.72,37.4
N:755467,,,240.6
N:12813,,,45.24
N:433254,,,157.85
N:527467,,,51.07
N:512169,,,496.37
N:796494,,,81.66
N:492168,,,313.74
N:48537,,,66.16
N:48615,,,34.68
N:538570,,,100.79
N:491455,,6.56,42.25
N:797280,,,133.12
N:502905,,,356.41
N:13145,,,95.65
N:780185,,,124.34
N:458407,,,329.56
N:434873,,5.71,111.17
N:96179,,,40.93
N:551195,,,40.18
N:551157,,,39.49
N:466893,,,67.76
N:13123,,,51.85
N:551061,,16.4,42.92
N:11736,,,189.71
N:96671,,2.91,30.18
N:47762,,,136.76
N:96571,,4.53,116.26
N:466515,,,276.56
N:96290,,,128.42
N:96166,,,139.3
N:550511,,,95.99
N:12285,,,156.75
N:48594,,,57.75
N:92605,,,204.34
N:465704,,,248.98
N:543914,,,79.31
N:467033,,,34.09
N:550766,,,47.32
N:538257,,,65.28
N:807648,,,78.34
N:543854,,,93.31
N:467306,,,36.25
N:543806,,,126.04
N:65403,,,279.53
N:481005,,,90.73
N:69122,,,198.1
N:65882,,,59.83
N:543769,,,179.13
N:53086,,,28.14
N:481545,,,120.02
N:64278,,,125.49
N:793371,,,325.47
N:60370,,9.8,59.32
N:64174,,,149.87
N:482605,,,69.36
N:67981,,,191.58
N:485997,4.2,2.25,50.4
N:17988,2.91,2.4,104.93
